label,text
6,所以现在脸上贴着什么膏药之类的东西吗 
2,是吧，所以你们那个太厉害了 
6,好吧，那是我烫的太厉害了，那你不戳撒，涂烫伤药 
2,任性改词，果然只有气球，没有告白哥呀，爱呀大声说出来 
6,你消失那么久，一出来就这样对我，真的好吗 
6,你已经证明了不怕亲爱的 
3,凉快啊，还以为沙漠都得五六十度呢，我没文化真可怕啊 
5,我求求你们发点证据吧 
1,哈哈哈对你的120成本太高～ 
6,他们偷偷来看的？ 
6,你说着急不着急，忧桑不忧桑 
1,哈哈哈哈哈，我受到了更大的惊吓，刚才电话通知我晚上还要回行里开会！我的…好苦啊！ 
6,是啊，这温度得穿厚衣服才行 
3,怎么走丢的？！？不是一直都在家吗！！ 
6,是不是吃点保济丸就没事了 
5,对面那妹子还人美声甜呢 
1,这个理想很伟大，呵呵 
2,祝你这周体力充沛元气满满！！ 
6,哇！我没有吃过哎！ 
5,我也刚刚醒。真的好嫌弃勒，做事一点都不积极，懒散。 
6,？？？从哪看出来瘦了？？？我胖了 
5,车慢的像蚂蚁！回来开了半个钟，现在还滞留在她家呢！ 
6,看来我们要好好探讨下了，我也觉得我眼光有问题 
2,因为我们决定11.或12就过去了。哈哈。太喜欢你家风格。 
3,突然好多东西要做哎 
5,有什么不行？？？ 
2,我擦~恭喜！ 
1,哎哟。哈哈。锁骨美啊。我的只看见我的大粗胳膊了 
6,出嫁的节奏，今年过年不在石马么？ 
6,神马，你新机买回来什么都没有，升级完也有问题吗？ 
6,其实说白了还是看脸，颜值略高靠头发加分，颜值足够高的秃了也无所谓 
6,哎呀，快了快了，行了不说了，去和灏明逛街了，一天天的，净关注我们啥时候生 
6,这点我俩有点像，可能是到了年龄，也可以说到了境界。 
6,instasize和美图秀秀都能搞定这种无缝拼接～ 
5,不赔钱就坐牢，最不怕赖 
6,这两张图也是p的?看着不像啊 
6,我就说嘛，看样子都像你家的小区休假了就好好在家里浪，浪够了再回来上班 
6,说的好像有恋可失一样 
2,婚后生活是幸福哎！ 
2,我买了三瓶，越用越喜欢 
2,嘴巴好性感。下巴好尖啊。羡慕嫉妒恨 
6,这么贵！！我还没买过这我淘宝带来的 
2,心灵感应哈哈美少女要有作为美少女的认知哦 
1,谢谢孩子！（我们吃饺子） 
6,应该都不值钱了，我扫了一次没砍价十五也能接受～ 
5,你这逻辑有问题，好好读书吧 
1,蜘蛛，唔知点解见到你我就会捻起钟宇，哈哈啊啊 
3,要保护好，我的裂了，很可惜！刚从火上端下来，一定放隔热垫，我放在凉凉的地面，裂了！ 
2,你的长相我就很满意 
3,啊六点多走的？？？可怜一直在大厅等的我们啊 
6,嫩咋还没回来你化妆品不要了是吧 
6,不清楚嗳，和朋友散步的时候随手拍的 
6,那个非酋是真的啊…网易能不能好好玩？ 
6,哪里吓到你们了？！ 
6,你硬是没找对地方，下次我带你去！ 
5,如果他们平时不搞一些乱七八糟的事会有人批着他们的皮做这种事吗 
6,不至于吧？不包括腐朽应试教育的那些书籍我觉得差不多有妳所说的那个数目。不过，四库全书不读完一切皆枉然 
5,演技先不说，首先剧本就有严重问题 
2,继续给安总请安，繁体字是我用来装文化人的。安总晚安。 
1,我没有眉毛哈哈哈哈哈。这么一想我妈真的贴心了 
6,我就说希望他演小龙女，不要让他再黑她了 
1,谢谢，已经到麻阳了，去西域地区 
6,代售与否随意，主要是存放和发到各个展子的货 
1,哈哈哈哈我的宝宝该怎么转就怎么转！亲你一下！！ 
6,棒棒帅是啥？ 
2,嗯嗯，好好玩耍，出门在外要小心。 
6,有这种皮肤吗，怎么换的亲爱的， 
6,片子没事，行走如常，就是起蹲困难，走的多了腿上没劲。老人想锻炼，我又怕活动多了关节受伤，很矛盾。 
6,这个容易养，不用费心管，来两个？ 
6,秀吧秀吧！ 
6,我在别的村赚钱养家 
4,嗯！不过现在啊，下河游泳真的担心，水污染太严重了！！！！ 
6,是啊，还好恢复的快，才6天就参加考试，他还选的跳绳 
6,张医生，我想养那种可以说话的鹦鹉，它们是都会学舌需要教？还是有些永远学不会？怎么挑啊？ 
1,哈哈哈哈哈哈哈哈哈这么有趣的吗！下次去围观一下 
6,她这么high哪用我陪呀 
6,看后背你怎么就知道水灵了？ 
2,相机好，确实就感觉不一样 
1,哈哈哈哈哈听名字我都不想花钱 
2,一个敦促睡觉，一个帮助睡觉，完美 
2,还可以又酷又甜 
2,亲，把今天我所有的祝福都分给你；相信你可以滴。加油！！！ 
6,我要没用啊，你要说约妹子我就醉了，约妹子看电影是最失败的一种选择 
6,没阿。我妈不让去的。还在考虑哈。不过面试好像得好几轮。 
1,花花好，到家了，谢谢你的关心哦！ 
6,就为了吃来的回你家了你当然夸了？ 
6,hobo好容易的quq所以打算换个不容易爆本的 
6,怎么麻烦法？？ 
5,还有，死者丈夫的手机号，身份证号，家庭住址被人公布在网上，导致家属受到无端骚扰，请有关部门好好查查始作俑者 
6,明显夜班！小小地慰问一下：辛苦了！ 
5,伟人之所以伟大一部分也包括人格魅力不像孙子一样一点就着污言秽语爷爷听了想打人 
5,你有钱？看来你都订好墓地了吧？ 
5,我觉得你应该心里有数！不要欺骗自己 
2,这头发比以前好看， 
5,热巴粉来这里ky干什么？关你屁事？ 
2,真羡慕，菲比唔肯跟我地去，搞到我地无订 
6,我就在房间里溜哒 
6,为了诱惑的旅行，不上了 
6,你只能当二房了 
6,深深要开演唱会了考虑下下？ 
6,不是吧，隔壁！！ 
6,你知道今天崔老师几严啵缴了好多夹带的 
6,那算了，我也不去了。准备英语满分 
6,我已经支气管炎连续三个多周了，还是得好好注意 
1,呜呜呜感动！！！！！等志志回来我们约他么的n 
1,可不是么，我顺便还收获了我孩儿他爸，简直完美三年哈哈哈哈哈 
2,小时候吃过，觉得很好玩 
2,认真的女人太迷人 
1,嗯嗯我知道。你长的和你妈妈太像了 
1,哈哈。不要这么激动。我都没有爬到你那边去。 
6,懂得很多道理，却依然过不好这一生。别再感悟了 
6,你不是还是学生么。怎么还在玩？那是拍照角度没有抓好 
6,从我认识你你都没有年轻过啊 
6,那我到哪里看望你也？ 
2,夏天留长发扎起来也很好看呀 
6,实在要不回来也无奈了，这种地址就删除掉吧 
6,毕业就能考吧。 
2,淅头像好看哦～ 
1,不枉我飙过去那条语音再看还是帅爆 
6,好吧，晚上回家试试看，绿绿的看起来很清爽 
6,"没关系,他们两个是焦点就行了 "
5,打完游戏不想说话怕一张口就是脏话 
6,怎么了是因为太帅了会把机器炸了吗 
6,都长好了。是不是又要拔掉了丹丹你回来了吗 
2,烟雨哥到家了吗?花花问好 
5,我就是要边玩王者玩喷，怎么样？ 
2,是呀！而且背景不能太杂乱，越清亮越好！ 
6,这个技能我还没学会自己染头发倒是可以 
2,妹子加油，你还会遇到更好的 
6,嗯嗯，我也以为夭折了好难受，然后演吴老爷的张晨光回复粉丝说没有，剧本改了 
2,一万六的贵妇气质  厉害厉害 
1,恋爱的心情哪里都是明媚的 
6,我在泰山公馆租的房子呀… 
