,polarity
1,5
2,1
3,6
4,1
5,2
6,6
7,3
8,6
9,2
10,2
11,6
12,6
13,1
14,6
15,2
16,1
17,6
18,3
19,6
20,6
21,1
22,1
23,6
24,6
25,2
26,6
27,6
28,1
29,6
30,1
31,1
32,1
33,6
34,6
35,1
36,2
37,6
38,6
39,6
40,6
41,6
42,6
43,2
44,1
45,6
46,1
47,3
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,2
56,2
57,6
58,2
59,6
60,6
61,6
62,6
63,6
64,6
65,2
66,2
67,1
68,6
69,1
70,3
71,6
72,6
73,1
74,6
75,2
76,6
77,6
78,6
79,3
80,6
81,6
82,6
83,3
84,1
85,6
86,2
87,6
88,6
89,2
90,5
91,1
92,1
93,6
94,1
95,1
96,2
97,1
98,6
99,6
100,6
101,1
102,2
103,6
104,6
105,6
106,1
107,2
108,6
109,6
110,1
111,2
112,6
113,6
114,6
115,2
116,6
117,6
118,6
119,3
120,3
121,1
122,5
123,5
124,1
125,5
126,6
127,1
128,1
129,6
130,2
131,1
132,2
133,1
134,5
135,6
136,6
137,5
138,2
139,1
140,6
141,1
142,5
143,6
144,6
145,6
146,1
147,2
148,3
149,1
150,1
151,6
152,2
153,1
154,2
155,1
156,3
157,2
158,1
159,6
160,6
161,6
162,5
163,5
164,6
165,1
166,6
167,1
168,2
169,5
170,4
171,6
172,6
173,6
174,2
175,6
176,1
177,6
178,6
179,6
180,2
181,1
182,3
183,3
184,6
185,2
186,5
187,6
188,2
189,2
190,6
191,6
192,1
193,6
194,1
195,1
196,1
197,3
198,6
199,6
200,2
201,2
202,5
203,6
204,5
205,2
206,6
207,2
208,6
209,2
210,2
211,2
212,2
213,4
214,1
215,1
216,1
217,1
218,6
219,2
220,4
221,1
222,6
223,6
224,6
225,3
226,1
227,6
228,6
229,6
230,2
231,6
232,1
233,1
234,6
235,1
236,5
237,2
238,2
239,6
240,2
241,1
242,2
243,4
244,6
245,6
246,6
247,2
248,2
249,6
250,6
251,2
252,3
253,1
254,6
255,2
256,6
257,6
258,6
259,2
260,6
261,6
262,2
263,6
264,2
265,6
266,2
267,1
268,2
269,6
270,3
271,6
272,6
273,2
274,1
275,6
276,2
277,6
278,5
279,6
280,5
281,6
282,6
283,2
284,6
285,6
286,5
287,2
288,3
289,6
290,2
291,6
292,3
293,5
294,6
295,6
296,1
297,6
298,1
299,3
300,6
301,6
302,1
303,6
304,1
305,6
306,5
307,6
308,1
309,1
310,6
311,2
312,4
313,6
314,6
315,6
316,6
317,6
318,2
319,6
320,3
321,6
322,6
323,6
324,5
325,6
326,6
327,1
328,1
329,6
330,6
331,1
332,6
333,6
334,6
335,2
336,1
337,6
338,5
339,6
340,3
341,6
342,6
343,6
344,5
345,1
346,6
347,2
348,6
349,1
350,6
351,3
352,6
353,6
354,2
355,6
356,2
357,6
358,6
359,1
360,6
361,2
362,2
363,6
364,6
365,6
366,1
367,3
368,2
369,4
370,6
371,5
372,6
373,6
374,2
375,6
376,3
377,2
378,1
379,6
380,2
381,1
382,2
383,2
384,6
385,6
386,6
387,5
388,6
389,1
390,6
391,6
392,6
393,2
394,6
395,6
396,2
397,6
398,6
399,1
400,6
401,1
402,2
403,6
404,5
405,2
406,6
407,6
408,3
409,1
410,6
411,3
412,6
413,6
414,5
415,3
416,6
417,3
418,5
419,6
420,6
421,6
422,2
423,1
424,6
425,6
426,5
427,6
428,6
429,6
430,6
431,6
432,2
433,6
434,5
435,2
436,5
437,6
438,6
439,3
440,6
441,1
442,6
443,1
444,3
445,1
446,1
447,5
448,6
449,2
450,2
451,6
452,6
453,2
454,6
455,6
456,5
457,1
458,5
459,2
460,3
461,6
462,1
463,5
464,2
465,6
466,6
467,6
468,2
469,1
470,6
471,6
