,polarity
1,2
2,5
3,2
4,6
5,3
6,2
7,6
8,2
9,6
10,6
11,1
12,1
13,6
14,5
15,1
16,3
17,6
18,1
19,1
20,1
21,2
22,1
23,2
24,2
25,6
26,5
27,5
28,6
29,1
30,2
31,6
32,1
33,6
34,6
35,6
36,6
37,1
38,2
39,6
40,5
41,6
42,1
43,4
44,2
45,1
46,6
47,6
48,6
49,2
50,6
51,5
52,6
53,2
54,6
55,6
56,6
57,1
58,6
59,1
60,2
61,6
62,6
63,6
64,6
65,1
66,6
67,6
68,6
69,6
70,1
71,5
72,1
73,2
74,5
75,6
76,5
77,5
78,6
79,1
80,1
81,5
82,6
83,1
84,6
85,3
86,6
87,1
88,4
89,1
90,2
91,1
92,2
93,6
94,5
95,6
96,2
97,1
98,1
99,3
100,2
101,2
102,6
103,6
104,6
105,5
106,4
107,5
108,1
109,6
110,1
111,2
112,6
113,6
114,6
115,6
116,6
117,4
118,6
119,6
120,6
121,2
122,6
123,6
124,1
125,2
126,6
127,1
128,1
129,6
130,6
131,2
132,6
133,3
134,6
135,6
136,5
137,6
138,1
139,6
140,6
141,6
142,1
143,2
144,1
145,2
146,6
147,6
148,1
149,6
150,5
151,6
152,3
153,6
154,6
155,5
156,6
157,5
158,6
159,2
160,6
161,1
162,5
163,1
164,6
165,5
166,2
167,5
168,5
169,6
170,6
171,1
172,6
173,6
174,2
175,6
176,6
177,5
178,2
179,3
180,2
181,6
182,6
183,1
184,1
185,5
186,6
187,6
188,2
189,6
190,1
191,1
192,6
193,6
194,1
195,1
196,6
197,1
198,6
199,6
200,5
201,6
202,2
203,6
204,6
205,6
206,6
207,5
208,6
209,5
210,2
211,6
212,6
213,6
214,1
215,3
216,1
217,2
218,3
219,1
220,1
221,6
222,1
223,6
224,6
225,6
226,6
227,6
228,1
229,2
230,5
231,2
232,3
233,6
234,6
235,6
236,2
237,6
238,2
239,6
240,3
241,4
242,2
243,6
244,1
245,6
246,5
247,6
248,1
249,1
250,6
251,6
252,3
253,6
254,1
255,1
256,2
257,1
258,5
259,1
260,5
261,2
262,6
263,6
264,6
265,6
266,2
267,1
268,6
269,5
270,2
271,2
272,2
273,1
274,5
275,6
276,6
277,6
278,1
279,5
280,3
281,6
282,6
283,6
284,1
285,3
286,2
287,5
288,1
289,2
290,1
291,2
292,6
293,6
294,2
295,2
296,3
297,6
298,1
299,1
300,1
301,5
302,1
303,1
304,2
305,6
306,6
307,2
308,6
309,1
310,5
311,6
312,2
313,2
314,6
315,1
316,6
317,1
318,1
319,6
320,5
321,6
322,6
323,2
324,6
325,1
326,4
327,5
328,6
329,6
330,2
331,6
332,4
333,2
334,1
335,4
336,3
337,5
338,1
339,6
340,6
341,6
342,6
343,6
344,3
345,3
346,1
347,6
348,2
349,1
350,6
351,6
352,1
353,1
354,6
355,6
356,1
357,6
358,2
359,2
360,2
361,6
362,2
363,1
364,5
365,1
366,1
367,5
368,6
369,6
370,2
371,2
372,1
373,5
374,6
375,6
376,5
377,6
378,1
379,1
380,6
381,3
382,6
383,6
384,2
385,5
386,1
387,1
388,6
389,6
390,2
391,3
392,1
393,6
394,1
395,5
396,6
397,6
398,1
399,2
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,3
408,1
409,6
410,6
411,1
412,6
413,6
414,5
415,3
416,6
417,2
418,1
419,6
420,6
421,3
422,1
423,5
424,6
425,6
426,2
427,6
428,6
429,6
430,6
431,6
432,6
433,5
434,6
435,6
436,6
437,1
438,3
439,5
440,5
441,1
442,2
443,2
444,1
445,2
446,6
447,6
448,6
449,6
450,2
451,6
452,6
453,2
454,1
455,2
456,6
457,6
458,6
459,6
460,3
461,5
462,1
463,1
464,4
465,6
466,5
467,6
468,2
469,1
470,6
471,6
472,2
473,6
474,2
475,6
476,1
477,3
478,6
479,6
480,1
481,2
482,6
483,5
484,2
485,2
486,6
487,6
488,1
489,5
490,2
491,2
492,6
493,6
494,3
495,6
496,1
497,2
498,1
499,5
500,1
501,1
502,6
503,6
504,6
505,2
506,2
507,6
508,6
509,6
510,6
511,5
512,6
513,6
514,6
515,6
516,1
517,2
518,3
519,6
520,2
521,2
522,6
523,6
524,1
525,1
526,1
527,3
528,1
529,1
530,6
531,6
532,6
533,6
534,6
535,5
536,6
537,2
538,6
539,3
540,6
541,3
542,2
543,6
544,1
545,3
546,6
547,6
548,1
549,3
550,5
551,3
552,1
553,1
554,6
555,6
556,2
557,1
558,6
559,6
560,2
561,6
562,6
563,6
564,1
565,2
566,6
567,6
568,6
569,6
570,3
571,1
572,6
573,1
574,6
575,1
576,6
577,6
578,5
579,6
580,6
581,5
582,6
583,6
584,2
585,5
586,6
587,6
588,2
589,6
590,6
591,6
592,1
593,1
594,4
595,6
596,2
597,1
598,6
599,1
600,6
601,5
602,6
603,6
604,6
605,1
606,1
607,2
608,6
609,6
610,6
611,6
612,1
613,1
614,6
615,2
616,6
617,5
618,6
619,5
620,6
621,1
622,5
623,2
624,6
625,2
626,6
627,1
628,4
629,5
630,6
631,6
632,3
633,6
634,6
635,6
636,3
637,6
638,6
639,6
640,6
641,5
642,6
643,2
644,6
645,2
646,6
647,5
648,6
649,6
650,6
651,6
652,2
653,2
654,2
655,2
656,6
657,5
658,6
659,6
660,3
661,1
662,2
663,1
664,6
665,1
666,1
667,6
668,2
669,6
670,6
671,2
672,6
673,6
674,3
675,1
676,4
677,3
678,6
679,6
680,1
681,3
682,3
683,1
684,6
685,6
686,6
687,6
688,6
689,5
690,6
691,6
692,6
693,6
694,1
695,1
696,6
697,6
698,6
699,2
700,2
701,3
702,3
703,2
704,6
705,6
706,6
707,6
708,1
709,5
710,6
711,1
712,1
713,6
714,6
715,1
716,4
717,5
718,3
719,2
720,6
721,2
722,1
723,1
724,1
725,6
726,6
727,6
728,6
729,2
730,1
731,5
732,6
733,6
734,3
735,6
736,6
737,1
738,6
739,5
740,6
741,2
742,6
743,2
744,2
745,6
746,6
747,6
748,2
749,6
750,6
751,6
752,1
753,6
754,1
755,6
756,6
757,6
758,1
759,6
760,6
761,1
762,3
763,6
764,2
765,6
766,6
767,5
768,6
769,5
770,6
771,2
772,2
773,3
774,2
775,1
776,2
777,6
778,6
779,6
780,2
781,4
782,6
783,2
784,5
785,2
786,3
787,5
788,2
789,2
790,6
791,3
792,6
793,5
794,6
795,6
796,3
797,2
798,6
799,6
800,6
801,6
802,6
803,2
804,6
805,2
806,2
807,1
808,6
809,6
810,6
811,6
812,1
813,6
814,5
815,5
816,6
817,2
818,6
819,2
820,6
821,6
822,6
823,1
824,5
825,3
826,3
827,6
828,6
829,6
830,1
831,1
832,6
833,5
834,2
835,6
836,6
837,6
838,1
839,1
840,1
841,5
842,2
843,6
844,3
845,5
846,6
847,3
848,1
849,6
850,2
851,2
852,6
853,2
854,6
855,6
856,5
857,3
858,6
859,5
860,2
861,6
862,6
863,6
864,6
865,2
866,6
867,1
868,6
869,6
870,6
871,5
872,6
873,2
874,6
875,6
876,2
877,6
878,6
879,2
880,1
881,5
882,6
883,6
884,2
885,6
886,6
887,6
888,6
889,6
890,3
891,1
892,5
893,5
894,6
895,2
896,6
897,6
898,1
899,6
900,3
901,6
902,2
903,6
904,2
905,2
906,6
907,6
908,6
909,3
910,6
911,6
912,6
913,6
914,1
915,6
916,2
917,1
918,6
919,6
920,3
921,6
922,1
923,1
924,2
925,6
926,1
927,2
928,6
929,6
930,1
931,2
932,6
933,3
934,6
935,5
936,1
937,1
938,5
939,6
940,1
941,3
942,2
943,6
944,2
945,1
946,6
947,2
948,6
949,1
950,6
951,1
952,3
953,6
954,6
955,6
956,6
957,5
958,1
959,2
960,6
961,4
962,1
963,2
964,1
965,1
966,2
967,6
968,2
969,6
970,6
971,5
972,5
973,6
974,2
975,6
976,6
977,2
978,5
979,5
980,3
