,text,label
0,我就奇怪了  为啥你能拍得这么美呢 ,2
1,因为我做什么都认真，都诚心诚意！ ,2
2,好你诚心诚意！我谦虚低调！咱都是优秀品格的人再赞一个  干杯 ,2
3,是这是人家自己的事就算我能见到她也不会说你们分手吧什么的可是我真心不喜欢冯绍峰这个理由够吗 ,5
4,最起码那孩子对倪妮没恶意，你不开心也别来这里找人吵架不好吗 ,5
5,我只是看到评论觉得很不爽而且憋很久不懂的可以闭嘴吗 ,5
6,狂上加狂的旧时燕飞帝王家和危宫惊梦 ,6
7,哈哈，我也推这本。她古文好厉害 ,2
8,原来特别喜欢他写的耽美，没想到男女的也写的很好看，太棒了哈 ,2
9,呵呵呵呵呵呵呵呵你拍我家枇杷树跟我说了嘛！！！不准吃我家枇杷！！！都我的！！！ ,5
10,写你名了？写你名了？写你名了？ ,5
11,你难道没看到么，当初我在每颗果子上都刻了我的大名！！ ,5
12,哎，我就吃下这个哑巴亏算了 ,3
13,呔，妖怪，死到临头还嘴硬 ,5
14,真不愧是嘴脸红，看我不收了你 ,5
15,自古真情留不住，唯有套路留人心 ,3
16,"偶看报纸上的评论,好像也不看好. ",3
17,明天要是有时候间就去看少年派据说很好，周末快乐哦 ,2
18,周末快乐!等你看完再讲评讲评哦 ,2
19,你这个包裹厉害的！据说最近除重量外，要算体积了。 ,2
20,我刚好是在那个通知发出的前一天发货的 ,6
21,太棒了！我的几件东西还没到齐，还得等几天 ,2
22,你也买啦我买了16家，都是很快就到了 ,6
23,道理是这样的，不过茶没味了，也是有过程的。有些茶是会让人回味无穷的 ,6
24,茶本身不会回味无穷，能够回味无穷的都是自己内心的感受。 ,6
25,其实只要经历过就好，忘记的就忘记吧，明天会有更好的回忆。圣诞快乐 ,2
26,我当时也是这样想的～实在是太美了～ ,2
27,是咯，不过我还是好想换相机喔哈哈 ,1
28,要换单反么？？不过我最近才刚买了新的 ,6
29,亲爱的你买的啥？ ,6
30,样子问题！我早就说了不卖！哈哈 ,1
31,要你管啦，票房又不能说明一切，不过有些人不懂欣赏罢了。 ,5
32,啊哈哈，叔叔莫着急，你喜欢周杰伦必须得爱屋及乌的啦！ ,2
33,这还差不多。诶你大学录了吧？ ,6
34,现在才知道来关心我！ ,3
35,饿，我这边好塞车。 ,3
36,你唔系搭地铁嘅咩？ ,6
37,地铁？要专线，好远。 ,3
38,这什么地方这么落后啊… ,3
39,居然是广州的一个铺位 ,3
40,你没给他普及微信支付么…看来还要加大力度啊，看来这老板平时不玩微信啊！ ,3
41,pgone陌陌号上发dp照片配字：约吗 ,5
42,还在626国际禁毒日那天发的…屁股王很牛逼是吗？ ,5
43,对呀光明正大抄袭又光明正大约d王昊怕过谁 ,5
44,拒绝就不会吃了 ,6
45,你这逻辑有问题，好好读书吧 ,5
46,呵呵哒，难道你是来这里展现自己的高风亮节的？ ,5
47,你们为什么见到雪那么兴奋 ,6
48,我从小到大没有见过雪。你觉得呢。跟你们喜欢大海一样 ,1
49,我本人对大海没什么感觉hhhh第一次看见也不兴奋 ,6
50,所以在盼望结束么 ,6
51,是期待奖品的那天嘻嘻 ,1
52,那要是抽不到你你不得哭 ,6
53,最好吃的是什么？不是季节啊，我首先想到的就是大闸蟹。 ,6
54,那边没有最好吃的！不好吃都 ,3
55,坐高铁去得？几个小时多钱？我考虑要是去上海可以考虑坐高铁去武汉吃米粉哈哈 ,1
56,尼玛你直接飞来我请你吃够！哈哈 ,1
57,我想知道有没有好心人点进我的相册看看我是几分的…（小声逼逼&瑟瑟发抖） ,4
58,8分呀6条条条符合呀 ,2
59,真爱宝宝怎么在这被你捞出来的 ,2
60,摸摸头，坚强的小土豆！ ,2
61,噗你也是大家都一样作为特别关注我特别荣幸噗 ,1
62,哈哈哈，我还指望着你成了网红一起卖面膜呢 ,1
63,铁定是没成功啊 ,3
64,哎呀〜你觉得可能吗！我一出马不成功不可能！ ,2
65,哦哟，是不是哦，出马和看看 ,5
66,哈哈哈哈！开玩笑的！人家一定要谦虚啦！ ,1
67,可我觉得他没有比赛的时候可爱了样子变了 ,2
68,是的的台下很可爱脸怎么尖尖的了不过唱歌的时候真的好腻害 ,2
69,嗯嗯唱歌超好听手都很帅 ,2
70,不太懂素锦为啥对着镜子说话，她不知道她手上的镜子是夜华的而另一个镜子在素素那么 ,6
71,就是故意说给素素听 ,6
72,她说的那个话特别真诚我以为她想对夜华说 ,6
73,播音界泰斗齐越老先生 ,6
74,对对对，文化人呀 ,2
75,我是播音主持专业的哈哈 ,1
76,照顾好自己！抱抱 ,2
77,抱抱也不知道最近怎么了身体这么差 ,3
78,我男朋友上个月也是超级背还一直生病水逆嘛！！都会好的！ ,2
79,为自己准备好纸巾了不哭不是我本人 ,3
80,我到时候都不想投票了双重压力 ,4
81,我姐妹跟我说:“说不定你哥哥就差你那几百票”痛苦啊 ,3
82,这个时候无比希望公司下场帮我们投几个小时票好不好 ,3
83,我们根本指望不了公司555他们只想简单快乐 ,3
84,我不喜欢秃子！ ,5
85,秃子怎么啦？怎么啦？怎么啦？环保节能又可以照亮。 ,5
86,秃子有点像吸毒的啊！ ,5
87,可以找你谈恋爱不周末包接送的那种哈哈 ,1
88,不和hmp谈恋爱那种又是哪种 ,5
89,乱说你误解我了我只是幽默一哈 ,1
90,可能是嘛这样子幽默我就只有呵呵了 ,5
91,十个高地9个基（外加名字可以确认也是基！ ,6
92,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我是基佬我骄傲！！！（名字一点也不鸡！） ,1
93,天宝伏妖录还不基！ ,6
94,我只注意到了是“他” ,6
95,哈哈，是男生，然而好朋友没有性别之分～ ,1
96,我不管，又一个潜在情敌 ,4
97,你啊你啊!!真系好靓啊你!! ,2
98,好似你靓d喔~ ,2
99,你有星味~哈哈!! ,2
100,小学你就38的脚了！莫非阁下就是江湖上人人敬仰的赤脚大仙？小弟乃诚实可靠小郎君，人世间一迷途小书童，久仰大名 ,6
101,你是第二个发现的脑子一下子没转过弯来 ,6
102,泡脚好事情，解乏，还可以去死皮，小时候你就知道这些，长大不得了的 ,6
103,好家伙  被你一说  我感觉自己突然好机智 ,2
104,哈哈··看你美得···多练练··省的下回再扭到·哈哈·· ,1
105,不是扭到  是脚一直抽筋不知道怎么回事唉 ,3
106,带着耳机影响你发挥了··赶紧整个小音箱去··· ,6
107,呵呵我也正有这打算呢  没有音箱太不方便了  明天得空了去淘个 ,6
108,衣服真多，可以换两小时 ,2
109,数学上有排列组合这一说，两条裤子三件褂子可以搭六套，以此类推。 ,6
110,真羡慕数学学的好且衣服又多的人 ,2
111,政府同意，人民反对，请问这是什么政府，还有是国家哪部法律，第几条 ,5
112,这个破安检一看就是地方zf一意孤行，为了向central谄媚、交差话说，层主也玩舰r ,5
113,对的，要来波好友么 ,6
114,十八线假装是莲花的绿茶，38线的喷子 ,5
115,毕竟十八线，人家也急呀不上杆子蹭点儿也没辙 ,5
116,你美，你说的都对 ,2
117,到哪儿热评都是她各种扎眼 ,5
118,你的高光用的什么牌子的啊？灵不灵？ ,6
119,用的棒啊！估计你会觉得油腻腻，我蛮喜欢的。不过男生会说满脸油光 ,2
120,什么牌子的啊？看起来不错呢，我也一直想买高光的 ,6
121,你永远走在我前面，注定要给我提供攻略！ ,6
122,好的据说九月贷款比较紧  我正好可以请个假嘿嘿 ,1
123,意思是我也能休息休息了？ ,6
124,没错哈哈等我给你提供攻略 ,1
125,好的，你们云南跟团么 ,6
126,下次找一张我侄女的照片发给你看，和你家闺女长得一个样。现在大学教书。 ,6
127,也有这么肥大？ ,5
128,长得像，胖得也像。 ,6
129,如果女的回答，看过画的，怎么办？然后女的继续补刀，她认真想五角星她看没看过怎么办 ,6
130,撞上了，我的回答就是看到过 ,6
131,很好很好很好 ,2
132,你好厉害~我好怕怕~万一碰见你！你会不会骂我啊 ,4
133,怎么可能？一看你也不是那么没素质的人。另外我现在也不跟那种人较劲，犯不着。 ,6
134,我很乖的~开车特别文明~我准备明天给后面弄个'新手上路' ,1
135,你也不吃葱吗 ,6
136,此物乃世间不合理存在之一 ,5
137,可是有些食物没有葱又觉得少点什么挑葱好辛苦 ,5
138,生日快乐，去年我们一起，今年大家都在不同领域努力，加油！ ,1
139,好怀念在剧组的日子…蛇蛇都拍好几部戏了，火了可千万不要忘记飘姐 ,6
140,哈哈，飘姐现在了都是主持人了呢希望有天你主持节目，嘉宾是我，哈哈哈 ,1
141,真小资去加拿大的准备工作一切还顺利吧？ ,6
142,还没啊，昨天刚刚发邮件给加拿大大使馆催签证，好怕这两周h出不了啊 ,4
143,我当时也是，签证在航班前一周才粗来，加政府效率一塌糊涂的~ ,5
144,阿佳妮！只看过她一部《地下铁》，就爱得很 ,2
145,玛戈皇后里的阿佳妮美不胜收，活生生大仲马笔下走出来的 ,2
146,刚搜了下，没找到源 ,6
147,有个手工客的app，做布艺、木工之类的，很好的 ,2
148,恩恩，我已经下载啦~感谢推荐 ,2
149,我也下载打算做木工呢 ,6
150,热的就是宝藏啊 ,2
151,是哒！我喝的很慢所以我一直买小杯我妈今天给我买了大杯我没喝完就冷了… ,2
152,哈哈哈哈其实我也是只是想喝但是买了又喝不完 ,1
153,台风就快过去了的说 ,6
154,难道台风过了就会热？？？ ,6
155,应该会，往年冬天还能穿短袖的 ,6
156,那是变态天气变化的时候⊙﹏⊙ ,5
157,无问东西我觉得也不错啊你们二位喜欢不 ,2
158,无问西东去掉渣特效之外还凑合，但是没有那种深入人心的东西 ,3
159,为什么每个人感受真不一样 ,6
160,喝点生姜红糖水，热热的喝，我也感冒了 ,6
161,嗯，吃了药，准备再泡泡脚。头疼得不行。你多注意啊! ,6
162,准备等会喝生姜红糖水 ,6
163,早点睡，感冒要多睡，好得快。 ,6
164,嗯，你也早点好 ,2
165,你的美瞳哪里买的？ ,6
166,我不带美瞳的，感觉不舒服 ,5
167,你知不知道哪里有好点的美瞳卖？ ,6
168,一加出自oppo系，抄mback，不要脸 ,5
169,还有魅族申请的专利不是home键而是mabck，home键的交互方式。你这么能喷怎么不去喷zuk啊。傻子。 ,5
170,抄别人的东西还不知羞耻，oppo也就这b样 ,5
171,我们也是超级爱趴睡 ,2
